,Year,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Position_x,Country_x,Image_x,Position_y,Country_y,Image_y
376,2014,Argentina,1,0,Switzerland,Argentina win after extra time ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,8.0,Switzerland,https://api.fifa.com/api/v1/picture/flags-sq-4/sui
377,2014,Belgium,2,1,USA,Belgium win after extra time ,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel,14.0,USA,https://api.fifa.com/api/v1/picture/flags-sq-4/usa
378,2014,France,0,1,Germany, ,16.0,France,https://api.fifa.com/api/v1/picture/flags-sq-4/fra,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
379,2014,Brazil,2,1,Colombia, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,5.0,Colombia,https://api.fifa.com/api/v1/picture/flags-sq-4/col
380,2014,Argentina,1,0,Belgium, ,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg,12.0,Belgium,https://api.fifa.com/api/v1/picture/flags-sq-4/bel
381,2014,Netherlands,0,0,Costa Rica,Netherlands win on penalties (4 - 3) ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,34.0,Costa Rica,https://api.fifa.com/api/v1/picture/flags-sq-4/crc
382,2014,Brazil,1,7,Germany, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger
383,2014,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4) ,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg
384,2014,Brazil,0,3,Netherlands, ,4.0,Brazil,https://api.fifa.com/api/v1/picture/flags-sq-4/bra,15.0,Netherlands,https://api.fifa.com/api/v1/picture/flags-sq-4/ned
385,2014,Germany,1,0,Argentina,Germany win after extra time ,2.0,Germany,https://api.fifa.com/api/v1/picture/flags-sq-4/ger,7.0,Argentina,https://api.fifa.com/api/v1/picture/flags-sq-4/arg
